1	Solyc00g005000.3.1	GO:0004190; GO:0006508
2	Solyc00g005285.1.1	GO:0008168; GO:0008171
3	Solyc00g005440.2.1	GO:0003723
4	Solyc00g005460.2.1	GO:0003723
5	Solyc00g005840.3.1	GO:0045454
6	Solyc00g005900.2.1	GO:0005509; GO:0009523; GO:0009654; GO:0015979; GO:0019898; GO:0042549; GO:0016021
7	Solyc00g006480.1.1	GO:0008152; GO:0016758
8	Solyc00g006483.1.1	GO:0003677
9	Solyc00g006490.3.1	GO:0005488
10	Solyc00g006550.1.1	GO:0008152; GO:0016758
11	Solyc00g006560.1.1	GO:0008152; GO:0016758
12	Solyc00g006800.3.1	GO:0003824; GO:0004801; GO:0005737; GO:0006098; GO:0005975
13	Solyc00g006820.3.1	GO:0005215; GO:0006810; GO:0016020; GO:0005215; GO:0006857; GO:0016020
14	Solyc00g007010.3.1	GO:0042578; GO:0052866
15	Solyc00g007030.2.1	GO:0005515
16	Solyc00g007040.2.1	GO:0005515
17	Solyc00g007060.3.1	GO:0004672; GO:0005524; GO:0006468; GO:0004672; GO:0006468; GO:0005524
18	Solyc00g007070.3.1	GO:0000166; GO:0003676
19	Solyc00g007080.3.1	GO:0071816
20	Solyc00g007090.3.1	GO:0017176
21	Solyc00g007100.3.1	GO:0004672; GO:0005524; GO:0006468; GO:0004672; GO:0006468; GO:0005524
22	Solyc00g007110.3.1	GO:0005509; GO:0005515
23	Solyc00g007120.3.1	GO:0005509; GO:0005515
24	Solyc00g007180.1.1	GO:0016491; GO:0055114
25	Solyc00g007190.3.1	GO:0004722; GO:0006470
26	Solyc00g007195.1.1	GO:0003824; GO:0004722; GO:0006470
27	Solyc00g007200.3.1	GO:0006952; GO:0016021
28	Solyc00g007220.3.1	GO:0005515; GO:0008270
29	Solyc00g007225.1.1	GO:0003676; GO:0003677; GO:0046983
30	Solyc00g007260.3.1	GO:0006508; GO:0008234
31	Solyc00g007270.3.1	GO:0042256; GO:0043022
32	Solyc00g007300.3.1	GO:0005515
33	Solyc00g007305.1.1	GO:0006508; GO:0008234
34	Solyc00g007330.2.1	GO:0046872
35	Solyc00g007450.1.1	GO:0046872
36	Solyc00g007570.2.1	GO:0004650; GO:0005975
37	Solyc00g008680.3.1	GO:0005509
38	Solyc00g009020.3.1	GO:0009555
39	Solyc00g009030.2.1	GO:0005215; GO:0016021; GO:0055085; GO:0016020; GO:0022891; GO:0055085; GO:0016021; GO:0022857; GO:0055085
40	Solyc00g009040.3.1	GO:0000166; GO:0003676; GO:0003723
41	Solyc00g009060.3.1	GO:0004422; GO:0005737; GO:0006166; GO:0009116
